Title;Author;Description;Status;Rank;Views;Bookmarked;ImageUrl
Greatest Legacy of the Magus Universe;Esenel;Greatest Legacy of the Magus Universe novel is a popular light novel covering Fantasy, Adventure, and Action genres. Written by the Author Esenel. 306 chapters have been translated and translations of other chapters are in progress.;Ongoing;226;107000;1130;https://static.lightnovelcave.com/bookcover/300x400/01680-greatest-legacy-of-the-magus-universe.jpg
I Became a Genius Mage in the Cthulhu Game;Precious Child;I Became a Genius Mage in the Cthulhu Game novel is a popular light novel covering Horror, Fantasy, and Mature genres. Written by the Author Precious Child. 101 chapters have been translated and translations of other chapters are in progress.;Ongoing;329;33900;789;https://static.lightnovelcave.com/bookcover/300x400/01679-i-became-a-genius-mage-in-the-cthulhu-game.jpg
Advent of the Three Calamities;Entrail_JI;Advent of the Three Calamities novel is a popular light novel covering Fantasy, Romance, and Video Games genres. Written by the Author Entrail_JI. 170 chapters have been translated and translations of other chapters are in progress.;Ongoing;112;151000;3270;https://static.lightnovelcave.com/bookcover/300x400/01678-advent-of-the-three-calamities.jpg
A Soldier's Life;Alwaysrollsaone;A Soldier's Life novel is a popular light novel covering Historical, Mature, and Slice of Life genres. Written by the Author Alwaysrollsaone. 114 chapters have been translated and translations of other chapters are in progress.;Ongoing;153;11300;2940;https://static.lightnovelcave.com/bookcover/300x400/01677-a-soldiers-life.jpg
Doomsday Spiritual Artifact Master;Qin Yao;Doomsday Spiritual Artifact Master novel is a popular light novel covering Action, Adventure, and Romance genres. Written by the Author Qin Yao. 270 chapters have been translated and translation of all chapters was completed.;Ongoing;138;78800;1540;https://static.lightnovelcave.com/bookcover/300x400/01676-doomsday-spiritual-artifact-master.jpg
30 Years Have Passed Since the Prologue;Makelaha;30 Years Have Passed Since the Prologue novel is a popular light novel covering Action, Adventure, and Comedy genres. Written by the Author Makelaha. 167 chapters have been translated and translations of other chapters are in progress.;Ongoing;164;230000;1800;https://static.lightnovelcave.com/bookcover/300x400/01675-30-years-have-passed-since-the-prologue.jpg
A Painting of the Villainess as a Young Lady;litity;A Painting of the Villainess as a Young Lady novel is a popular light novel covering Drama,Fantasy, and Romance genres. Written by the Author litity. 201 chapters have been translated and translations of other chapters are in progress.;Ongoing;77;383000;1700;https://static.lightnovelcave.com/bookcover/300x400/01674-a-painting-of-the-villainess-as-a-young-lady.jpg;
Solo Max-Level Newbie;Maslow;Solo Max-Level Newbie novel is a popular light novel covering Action, Adventure, and Comedy genres. Written by the Author Maslow. 245 chapters have been translated and translations of other chapters are in progress.;Ongoing;259;97000;1780;https://static.lightnovelcave.com/bookcover/300x400/01673-solo-max-level-newbie.jpg
